,rep,length,density,radius,x-freq,y-freq,velocity
0,2,5,50,0.9109239357028508,0.016470588235294115,0.016470588235294115,0.12165670475879183
1,2,6,50,1.0014924738671254,0.015294117647058823,0.015294117647058823,0.12506915103475044
2,2,7,50,1.1813747978892315,0.012941176470588234,0.012941176470588234,0.11882868189492526
3,2,8,50,1.2549727398002097,0.011764705882352941,0.011764705882352941,0.1237444131632671
4,2,9,50,1.3743884876097818,0.011764705882352941,0.011764705882352941,0.11728821393542462
5,2,10,50,1.393862086878733,0.011764705882352941,0.011764705882352941,0.11957515532877887
6,2,11,50,1.628918112810564,0.009411764705882352,0.009411764705882352,0.12207749634433894
7,2,12,50,1.5749730710589878,0.009411764705882352,0.010588235294117647,0.12201578862575621
8,2,13,50,1.7490943440083517,0.009411764705882352,0.009411764705882352,0.11791796886758449
9,2,14,50,1.7964317770132128,0.008235294117647058,0.008235294117647058,0.11909559640845713
10,2,15,50,1.7609725778581056,0.009411764705882352,0.009411764705882352,0.11860025785059412
11,2,16,50,1.9606219009151662,0.008235294117647058,0.008235294117647058,0.11670327101605318
12,2,17,50,1.8359196495177648,0.008235294117647058,0.008235294117647058,0.12270608750401657
13,2,18,50,2.065133900903932,0.007058823529411764,0.007058823529411764,0.12094317742013277
14,2,19,50,1.9916968529896792,0.008235294117647058,0.008235294117647058,0.1197185718778293
15,2,20,50,2.1810278513224817,0.007058823529411764,0.007058823529411764,0.1189399658134063
16,2,21,50,2.121642141506274,0.007058823529411764,0.007058823529411764,0.12028423344879845
17,2,22,50,2.2065939014079157,0.007058823529411764,0.007058823529411764,0.11719945669899028
18,2,23,50,2.2145128083807815,0.007058823529411764,0.007058823529411764,0.11803887839011352
19,2,24,50,2.255616426379275,0.007058823529411764,0.007058823529411764,0.11889071337904762
20,2,25,50,2.2045456505816765,0.007058823529411764,0.007058823529411764,0.1180049258144747
21,2,26,50,2.2859548670026166,0.007058823529411764,0.007058823529411764,0.12238697288562896
22,2,27,50,2.26766639021424,0.007058823529411764,0.007058823529411764,0.11919790016045513
23,2,28,50,2.25881040527485,0.007058823529411764,0.007058823529411764,0.12021643797265988
24,2,29,50,2.3570743836958328,0.007058823529411764,0.007058823529411764,0.12108449630745757
25,2,30,50,2.2677842567240742,0.007058823529411764,0.007058823529411764,0.11964882823019828
26,2,5,75,0.8385394472771184,0.01764705882352941,0.01764705882352941,0.11911981702526914
27,2,6,75,0.9374433956381111,0.016470588235294115,0.016470588235294115,0.11700996306980513
28,2,7,75,0.9976409107783268,0.015294117647058823,0.015294117647058823,0.120441782384551
29,2,8,75,1.0614312033315345,0.015294117647058823,0.015294117647058823,0.11750147209212725
30,2,9,75,1.170267900746579,0.012941176470588234,0.012941176470588234,0.11922933926884234
31,2,10,75,1.3340370955635144,0.011764705882352941,0.011764705882352941,0.11636909104556621
32,2,11,75,1.4172852245022682,0.010588235294117647,0.010588235294117647,0.11447831694812319
33,2,12,75,1.4340883663279187,0.010588235294117647,0.010588235294117647,0.11832279045867765
34,2,13,75,1.5080501309520913,0.010588235294117647,0.010588235294117647,0.1177247374450296
35,2,14,75,1.521935150099592,0.010588235294117647,0.010588235294117647,0.11659059564476794
36,2,15,75,1.5733281722119483,0.010588235294117647,0.010588235294117647,0.11820015296981971
37,2,16,75,1.6579249081702974,0.009411764705882352,0.009411764705882352,0.11789532896690577
38,2,17,75,1.7072126260653542,0.009411764705882352,0.009411764705882352,0.11465901564190506
39,2,18,75,1.8339924941220065,0.008235294117647058,0.008235294117647058,0.11528004351077129
40,2,19,75,1.7409832325255103,0.009411764705882352,0.009411764705882352,0.11725870825519084
41,2,20,75,1.7902713529649144,0.008235294117647058,0.008235294117647058,0.11746205004549634
42,2,21,75,1.8215923601163013,0.008235294117647058,0.008235294117647058,0.1159420027723781
43,2,22,75,1.8257052326860153,0.008235294117647058,0.008235294117647058,0.1190515935088106
44,2,23,75,1.9108973847450135,0.008235294117647058,0.008235294117647058,0.11540826984951122
45,2,24,75,1.94683980318631,0.008235294117647058,0.008235294117647058,0.11663540706646261
46,2,25,75,1.8678266913576353,0.008235294117647058,0.008235294117647058,0.11643847056695152
47,2,26,75,1.8914368984159322,0.008235294117647058,0.008235294117647058,0.11990149124482569
48,2,27,75,2.023079957563736,0.008235294117647058,0.008235294117647058,0.11424744226377569
49,2,28,75,2.0177476060589727,0.008235294117647058,0.008235294117647058,0.11437818738261757
50,2,29,75,2.1405537882846373,0.007058823529411764,0.007058823529411764,0.11503560272190208
51,2,30,75,2.0131681479137056,0.008235294117647058,0.008235294117647058,0.12098986047651264
52,2,5,100,0.7217964577494976,0.021176470588235293,0.021176470588235293,0.11987862843966539
53,2,6,100,0.8765291064507336,0.01764705882352941,0.01764705882352941,0.11537303381670835
54,2,7,100,0.94357706952632,0.016470588235294115,0.016470588235294115,0.11694284228535665
55,2,8,100,1.001928745619304,0.015294117647058823,0.015294117647058823,0.11735476974713818
56,2,9,100,1.1293635353879055,0.014117647058823528,0.014117647058823528,0.1152748227171051
57,2,10,100,1.1553163991202773,0.014117647058823528,0.014117647058823528,0.11936777757931674
58,2,11,100,1.2027697931175647,0.012941176470588234,0.012941176470588234,0.11548277850755918
59,2,12,100,1.3324241457689006,0.011764705882352941,0.011764705882352941,0.11693211286278794
60,2,13,100,1.2756791524183337,0.012941176470588234,0.012941176470588234,0.11950230488609921
61,2,14,100,1.3490492712272872,0.011764705882352941,0.011764705882352941,0.11769671157171478
62,2,15,100,1.4436595721116883,0.010588235294117647,0.010588235294117647,0.11416148943588923
