,rep,length,density,radius,x-freq,y-freq,velocity
0,2,5,50,2.0759245623592086,0.0058823529411764705,0.007058823529411764,0.10834438612592537
1,2,6,50,2.2029498398130647,0.0058823529411764705,0.0058823529411764705,0.102741436323079
2,2,7,50,2.2408810812576037,0.0058823529411764705,0.0058823529411764705,0.10525859449413076
3,2,8,50,2.1730951726973884,0.007058823529411764,0.007058823529411764,0.11050243428527153
4,2,9,50,2.206826890451734,0.007058823529411764,0.007058823529411764,0.11147478350979399
5,2,10,50,2.315144781112318,0.0058823529411764705,0.0058823529411764705,0.11026625541797985
6,2,11,50,2.2614134551839324,0.007058823529411764,0.007058823529411764,0.11464098747558207
7,2,12,50,2.1896658487547227,0.007058823529411764,0.007058823529411764,0.11386222070764886
8,2,13,50,2.2766263194753904,0.007058823529411764,0.007058823529411764,0.11377085092350611
9,2,14,50,2.3164169427200183,0.007058823529411764,0.007058823529411764,0.11555272947447075
10,2,15,50,2.328342356148191,0.007058823529411764,0.007058823529411764,0.11405446955780281
11,2,16,50,2.3285140266815905,0.007058823529411764,0.007058823529411764,0.11537851797750864
12,2,17,50,2.2921719943732253,0.007058823529411764,0.007058823529411764,0.11725303412760393
13,2,18,50,2.3780432516124543,0.007058823529411764,0.007058823529411764,0.1173457111309786
14,2,19,50,2.3495236651345794,0.007058823529411764,0.007058823529411764,0.11629734493151402
15,2,20,50,2.4190929783331625,0.007058823529411764,0.007058823529411764,0.11418917408354493
16,2,21,50,2.412829079396545,0.007058823529411764,0.007058823529411764,0.11744203066355367
17,2,22,50,2.4622213717244477,0.0058823529411764705,0.0058823529411764705,0.11887463126528273
18,2,23,50,2.2941300443441235,0.007058823529411764,0.007058823529411764,0.12239992261178605
19,2,24,50,2.50255447191509,0.0058823529411764705,0.0058823529411764705,0.11753787501542166
20,2,25,50,2.4621313689942608,0.0058823529411764705,0.0058823529411764705,0.11393815531364736
21,2,26,50,2.398604400732909,0.007058823529411764,0.007058823529411764,0.11878861379512783
22,2,27,50,2.486014993978896,0.0058823529411764705,0.0058823529411764705,0.11830182627201265
23,2,28,50,2.464847977678876,0.0058823529411764705,0.0058823529411764705,0.1183539082186069
24,2,29,50,2.3616962922655405,0.007058823529411764,0.007058823529411764,0.11851145179210958
25,2,30,50,2.4594381792441813,0.0058823529411764705,0.0058823529411764705,0.11732139129147513
26,2,5,75,1.8060917756845296,0.007058823529411764,0.007058823529411764,0.09966553824464056
27,2,6,75,1.882686855795079,0.007058823529411764,0.007058823529411764,0.10162074101528591
28,2,7,75,1.8989319232250108,0.007058823529411764,0.007058823529411764,0.10428651842374038
29,2,8,75,1.9044909193753299,0.007058823529411764,0.007058823529411764,0.10688179289756317
30,2,9,75,1.8858821717814376,0.008235294117647058,0.008235294117647058,0.10708732603085128
31,2,10,75,1.9067417355596712,0.008235294117647058,0.008235294117647058,0.11156453182722186
32,2,11,75,1.8890448464033212,0.008235294117647058,0.008235294117647058,0.10977016888145635
33,2,12,75,1.993321371909223,0.007058823529411764,0.007058823529411764,0.1076178049221525
34,2,13,75,1.9429192202069543,0.008235294117647058,0.008235294117647058,0.1126434759001958
35,2,14,75,2.013831596929549,0.007058823529411764,0.008235294117647058,0.11154158975315778
36,2,15,75,2.0136558250624,0.008235294117647058,0.008235294117647058,0.11397435041245664
37,2,16,75,1.9797573076282518,0.008235294117647058,0.008235294117647058,0.1123592795798982
38,2,17,75,2.0973244836453935,0.007058823529411764,0.007058823529411764,0.11165875535505082
39,2,18,75,2.018002496588491,0.008235294117647058,0.008235294117647058,0.1132639005505306
40,2,19,75,2.1119450105050275,0.007058823529411764,0.007058823529411764,0.11501107848259437
41,2,20,75,2.087928278090875,0.007058823529411764,0.007058823529411764,0.11554102236491906
42,2,21,75,2.039478917958532,0.008235294117647058,0.008235294117647058,0.11343117356386628
43,2,22,75,2.088989900954702,0.007058823529411764,0.007058823529411764,0.11584967700603868
44,2,23,75,2.0776484767525902,0.007058823529411764,0.007058823529411764,0.11263218190780298
45,2,24,75,2.103195920452712,0.007058823529411764,0.007058823529411764,0.11474962490849107
46,2,25,75,2.1098872124081516,0.007058823529411764,0.007058823529411764,0.11601553148534487
47,2,26,75,2.0437754649622892,0.008235294117647058,0.008235294117647058,0.11428158423736638
48,2,27,75,2.075959320674712,0.007058823529411764,0.008235294117647058,0.11637314247757759
49,2,28,75,1.9867198597118225,0.008235294117647058,0.008235294117647058,0.11481325603646196
50,2,29,75,2.160046560533152,0.007058823529411764,0.007058823529411764,0.11353684272950873
51,2,30,75,2.0659465251834517,0.008235294117647058,0.008235294117647058,0.11571639624565261
52,2,5,100,1.7097438481746594,0.008235294117647058,0.008235294117647058,0.09696761180599514
53,2,6,100,1.7155845897182038,0.008235294117647058,0.008235294117647058,0.1011367578887833
54,2,7,100,1.7461106376729854,0.008235294117647058,0.008235294117647058,0.10160677081550916
55,2,8,100,1.7335680271346947,0.008235294117647058,0.008235294117647058,0.10401767434394212
56,2,9,100,1.697756883521198,0.008235294117647058,0.008235294117647058,0.1058784977331216
57,2,10,100,1.6836693817113813,0.009411764705882352,0.009411764705882352,0.10746184628337978
58,2,11,100,1.7344081174232617,0.008235294117647058,0.008235294117647058,0.10805815213495928
59,2,12,100,1.77874767344465,0.008235294117647058,0.008235294117647058,0.10887488982595403
60,2,13,100,1.8541825911437937,0.008235294117647058,0.008235294117647058,0.10806590885977274
61,2,14,100,1.8436741557557241,0.008235294117647058,0.008235294117647058,0.11074560055153708
62,2,15,100,1.8687603066997722,0.008235294117647058,0.008235294117647058,0.11003898846387578
